code,description,level
1120.04.16,"Subdirector general, organización / salud (hospital) (10 empleados y más)",8
1120.04.17,"Subdirector general, organización / silvicultura (10 empleados y más)",8
1120.04.18,"Subdirector general, organización / trabajo social (10 empleados y más)",8
1120.04.19,"Subdirector general, organización / transporte (10 empleados y más)",8
1120.04.20,"Subgerente general, organización (10 empleados y más)",8
1120.04.21,"Subgerente general, organización / actividades culturales (10 empleados y más)",8
1120.04.22,"Subgerente general, organización / actividades deportivas (10 empleados y más)",8
1120.04.23,"Subgerente general, organización / actividades recreativas (10 empleados y más)",8
1120.04.24,"Subgerente general, organización / administración pública (10 empleados y más)",8
1120.04.25,"Subgerente general, organización / caza (10 empleados y más)",8
1120.04.26,"Subgerente general, organización / comercio mayorista (10 empleados y más)",8
1120.04.27,"Subgerente general, organización / comercio minorista (10 empleados y más)",8
1120.04.28,"Subgerente general, organización / educación (10 empleados y más)",8
1120.04.29,"Subgerente general, organización / enseñanza (10 empleados y más)",8
1120.04.30,"Subgerente general, organización / hotelería (10 empleados y más)",8
1120.04.31,"Subgerente general, organización / instituciones extraterritoriales (10 empleados y más)",8
1120.04.32,"Subgerente general, organización / pesca (10 empleados y más)",8
1120.04.33,"Subgerente general, organización / restaurantes (10 empleados y más)",8
1120.04.34,"Subgerente general, organización / servicios de sanidad (10 empleados y más)",8
1120.04.35,"Subgerente general, organización / silvicultura (10 empleados y más)",8
1120.04.36,"Subgerente general, organización / trabajo social (10 empleados y más)",8
1120.04.37,"Subgerente general, organización / transporte (10 empleados y más)",8
12,"DIRECTORES ADMINISTRADORES Y COMERCIALES",2
121,"DIRECTORES DE ADMINISTRACIÓN Y SERVICIOS",3
1211,"DIRECTORES FINANCIEROS",4
1211.01,"Directores financieros",6
1211.01.01,"Director de departamento administración (10 empleados y más)",8
1211.01.02,"Director de departamento contabilidad (10 empleados y más)",8
1211.01.03,"Director de departamento, finanzas (10 empleados y más)",8
1211.01.04,"Director de departamento, presupuesto (10 empleados y más)",8
1211.01.05,"Director departamento de auditoría y control",8
1211.01.06,"Director departamento de contabilidad y presupuestos",8
1211.01.07,"Director financiero (10 empleados y más)",8
1211.01.08,"Gerente de finanzas",8
1211.01.09,"Asistente Administrativo Financiero (10 empleados y más)",8
1211.01.10,"Asistente financiero (10 empleados y más)",8
